cat_a,cat_b,alpha,beta,prompt_id,cluster_id,cluster_name,cos
anger,fear,-2.0,0.0,0,0,self-doubt / encouragement,0.21378503739833832
anger,fear,-2.0,0.0,0,1,frustration / despair,0.19184617698192596
anger,fear,-2.0,0.0,0,2,uncertainty / indecision,0.2423609495162964
anger,fear,-2.0,0.0,0,3,romantic idealism,0.06062449514865875
anger,fear,-2.0,0.0,0,4,academic ambition / competitive determination,0.1157606989145279
anger,fear,-2.0,0.0,0,5,ironic amusement,0.1250118464231491
anger,fear,-2.0,0.0,0,6,enthusiasm / curiosity,0.1549644023180008
anger,fear,-2.0,0.0,1,0,self-doubt / encouragement,0.05908381938934326
anger,fear,-2.0,0.0,1,1,frustration / despair,0.08640670776367188
anger,fear,-2.0,0.0,1,2,uncertainty / indecision,0.14380322396755219
anger,fear,-2.0,0.0,1,3,romantic idealism,-0.0004500128561630845
anger,fear,-2.0,0.0,1,4,academic ambition / competitive determination,0.08119083195924759
anger,fear,-2.0,0.0,1,5,ironic amusement,0.1015855073928833
anger,fear,-2.0,0.0,1,6,enthusiasm / curiosity,0.09306027740240097
anger,fear,-2.0,0.0,2,0,self-doubt / encouragement,0.11203654110431671
anger,fear,-2.0,0.0,2,1,frustration / despair,0.08629456162452698
anger,fear,-2.0,0.0,2,2,uncertainty / indecision,0.150186687707901
anger,fear,-2.0,0.0,2,3,romantic idealism,0.05919823423027992
anger,fear,-2.0,0.0,2,4,academic ambition / competitive determination,0.19814075529575348
anger,fear,-2.0,0.0,2,5,ironic amusement,0.05877523869276047
anger,fear,-2.0,0.0,2,6,enthusiasm / curiosity,0.12807020545005798
anger,fear,-2.0,0.0,3,0,self-doubt / encouragement,0.04968643561005592
anger,fear,-2.0,0.0,3,1,frustration / despair,0.10011174529790878
anger,fear,-2.0,0.0,3,2,uncertainty / indecision,0.128189817070961
anger,fear,-2.0,0.0,3,3,romantic idealism,0.038999758660793304
anger,fear,-2.0,0.0,3,4,academic ambition / competitive determination,0.04337547719478607
anger,fear,-2.0,0.0,3,5,ironic amusement,0.11101477593183517
anger,fear,-2.0,0.0,3,6,enthusiasm / curiosity,0.12609483301639557
anger,fear,-2.0,0.0,4,0,self-doubt / encouragement,0.11651457846164703
anger,fear,-2.0,0.0,4,1,frustration / despair,0.07814192771911621
anger,fear,-2.0,0.0,4,2,uncertainty / indecision,0.16940926015377045
anger,fear,-2.0,0.0,4,3,romantic idealism,0.10259468853473663
anger,fear,-2.0,0.0,4,4,academic ambition / competitive determination,0.16521799564361572
anger,fear,-2.0,0.0,4,5,ironic amusement,0.0648786723613739
anger,fear,-2.0,0.0,4,6,enthusiasm / curiosity,0.20355010032653809
anger,fear,-2.0,0.0,5,0,self-doubt / encouragement,0.16927550733089447
anger,fear,-2.0,0.0,5,1,frustration / despair,0.12772680819034576
anger,fear,-2.0,0.0,5,2,uncertainty / indecision,0.19697757065296173
anger,fear,-2.0,0.0,5,3,romantic idealism,0.04272943362593651
anger,fear,-2.0,0.0,5,4,academic ambition / competitive determination,0.12854136526584625
anger,fear,-2.0,0.0,5,5,ironic amusement,0.1335107684135437
anger,fear,-2.0,0.0,5,6,enthusiasm / curiosity,0.236124649643898
anger,fear,-2.0,0.0,6,0,self-doubt / encouragement,0.08250068128108978
anger,fear,-2.0,0.0,6,1,frustration / despair,0.11992225050926208
anger,fear,-2.0,0.0,6,2,uncertainty / indecision,0.1459178924560547
anger,fear,-2.0,0.0,6,3,romantic idealism,-0.022089704871177673
anger,fear,-2.0,0.0,6,4,academic ambition / competitive determination,0.08278192579746246
anger,fear,-2.0,0.0,6,5,ironic amusement,0.05788957327604294
anger,fear,-2.0,0.0,6,6,enthusiasm / curiosity,0.10315288603305817
anger,fear,-2.0,0.0,7,0,self-doubt / encouragement,0.17709439992904663
anger,fear,-2.0,0.0,7,1,frustration / despair,0.19954128563404083
anger,fear,-2.0,0.0,7,2,uncertainty / indecision,0.2686428725719452
anger,fear,-2.0,0.0,7,3,romantic idealism,0.1467004418373108
anger,fear,-2.0,0.0,7,4,academic ambition / competitive determination,0.10012609511613846
anger,fear,-2.0,0.0,7,5,ironic amusement,0.17773398756980896
anger,fear,-2.0,0.0,7,6,enthusiasm / curiosity,0.18728438019752502
anger,fear,-2.0,2.0,0,0,self-doubt / encouragement,0.1917426884174347
anger,fear,-2.0,2.0,0,1,frustration / despair,0.16839700937271118
anger,fear,-2.0,2.0,0,2,uncertainty / indecision,0.14574716985225677
anger,fear,-2.0,2.0,0,3,romantic idealism,0.048949822783470154
anger,fear,-2.0,2.0,0,4,academic ambition / competitive determination,0.08717110753059387
anger,fear,-2.0,2.0,0,5,ironic amusement,0.10677631944417953
anger,fear,-2.0,2.0,0,6,enthusiasm / curiosity,0.12813961505889893
anger,fear,-2.0,2.0,1,0,self-doubt / encouragement,0.12195132672786713
anger,fear,-2.0,2.0,1,1,frustration / despair,0.1259993314743042
anger,fear,-2.0,2.0,1,2,uncertainty / indecision,0.17901310324668884
anger,fear,-2.0,2.0,1,3,romantic idealism,0.047849901020526886
anger,fear,-2.0,2.0,1,4,academic ambition / competitive determination,0.05254542455077171
anger,fear,-2.0,2.0,1,5,ironic amusement,0.08762183040380478
anger,fear,-2.0,2.0,1,6,enthusiasm / curiosity,0.18528114259243011
anger,fear,-2.0,2.0,2,0,self-doubt / encouragement,0.16618213057518005
anger,fear,-2.0,2.0,2,1,frustration / despair,0.06457264721393585
anger,fear,-2.0,2.0,2,2,uncertainty / indecision,0.10437891632318497
anger,fear,-2.0,2.0,2,3,romantic idealism,0.11313727498054504
anger,fear,-2.0,2.0,2,4,academic ambition / competitive determination,0.1512811779975891
anger,fear,-2.0,2.0,2,5,ironic amusement,0.10528578609228134
anger,fear,-2.0,2.0,2,6,enthusiasm / curiosity,0.20101980865001678
anger,fear,-2.0,2.0,3,0,self-doubt / encouragement,0.04754674807190895
anger,fear,-2.0,2.0,3,1,frustration / despair,0.09557820856571198
anger,fear,-2.0,2.0,3,2,uncertainty / indecision,0.12335959076881409
anger,fear,-2.0,2.0,3,3,romantic idealism,0.020721442997455597
anger,fear,-2.0,2.0,3,4,academic ambition / competitive determination,0.04710391163825989
anger,fear,-2.0,2.0,3,5,ironic amusement,0.11765428632497787
anger,fear,-2.0,2.0,3,6,enthusiasm / curiosity,0.1399705857038498
anger,fear,-2.0,2.0,4,0,self-doubt / encouragement,0.08944772183895111
anger,fear,-2.0,2.0,4,1,frustration / despair,0.08179184794425964
anger,fear,-2.0,2.0,4,2,uncertainty / indecision,0.16639186441898346
anger,fear,-2.0,2.0,4,3,romantic idealism,0.09807264059782028
anger,fear,-2.0,2.0,4,4,academic ambition / competitive determination,0.1906457543373108
anger,fear,-2.0,2.0,4,5,ironic amusement,0.018696442246437073
anger,fear,-2.0,2.0,4,6,enthusiasm / curiosity,0.10835680365562439
anger,fear,-2.0,2.0,5,0,self-doubt / encouragement,0.1492541879415512
anger,fear,-2.0,2.0,5,1,frustration / despair,0.14587561786174774
anger,fear,-2.0,2.0,5,2,uncertainty / indecision,0.1725592166185379
anger,fear,-2.0,2.0,5,3,romantic idealism,0.026705008000135422
anger,fear,-2.0,2.0,5,4,academic ambition / competitive determination,0.08394484966993332
anger,fear,-2.0,2.0,5,5,ironic amusement,0.11203843355178833
anger,fear,-2.0,2.0,5,6,enthusiasm / curiosity,0.19020816683769226
anger,fear,-2.0,2.0,6,0,self-doubt / encouragement,0.19925929605960846
anger,fear,-2.0,2.0,6,1,frustration / despair,0.12236258387565613
anger,fear,-2.0,2.0,6,2,uncertainty / indecision,0.1635761260986328
anger,fear,-2.0,2.0,6,3,romantic idealism,-0.010226065292954445
anger,fear,-2.0,2.0,6,4,academic ambition / competitive determination,0.14676804840564728
anger,fear,-2.0,2.0,6,5,ironic amusement,0.08401922136545181
anger,fear,-2.0,2.0,6,6,enthusiasm / curiosity,0.20150946080684662
anger,fear,-2.0,2.0,7,0,self-doubt / encouragement,0.21941787004470825
anger,fear,-2.0,2.0,7,1,frustration / despair,0.1734119951725006
anger,fear,-2.0,2.0,7,2,uncertainty / indecision,0.21166494488716125
anger,fear,-2.0,2.0,7,3,romantic idealism,0.08191540837287903
anger,fear,-2.0,2.0,7,4,academic ambition / competitive determination,0.12766915559768677
anger,fear,-2.0,2.0,7,5,ironic amusement,0.1537054479122162
anger,fear,-2.0,2.0,7,6,enthusiasm / curiosity,0.2134888917207718
anger,fear,0.0,-2.0,0,0,self-doubt / encouragement,0.2579997777938843
anger,fear,0.0,-2.0,0,1,frustration / despair,0.1789245754480362
anger,fear,0.0,-2.0,0,2,uncertainty / indecision,0.29390186071395874
anger,fear,0.0,-2.0,0,3,romantic idealism,0.09816206246614456
anger,fear,0.0,-2.0,0,4,academic ambition / competitive determination,0.1298098862171173
anger,fear,0.0,-2.0,0,5,ironic amusement,0.1419863998889923
anger,fear,0.0,-2.0,0,6,enthusiasm / curiosity,0.18679481744766235
anger,fear,0.0,-2.0,1,0,self-doubt / encouragement,0.10924135148525238
anger,fear,0.0,-2.0,1,1,frustration / despair,0.11108601838350296
anger,fear,0.0,-2.0,1,2,uncertainty / indecision,0.19293516874313354
anger,fear,0.0,-2.0,1,3,romantic idealism,0.02738611400127411
anger,fear,0.0,-2.0,1,4,academic ambition / competitive determination,0.09196264296770096
anger,fear,0.0,-2.0,1,5,ironic amusement,0.12647168338298798
anger,fear,0.0,-2.0,1,6,enthusiasm / curiosity,0.09957394748926163
anger,fear,0.0,-2.0,2,0,self-doubt / encouragement,0.13851650059223175
anger,fear,0.0,-2.0,2,1,frustration / despair,0.08928446471691132
anger,fear,0.0,-2.0,2,2,uncertainty / indecision,0.17251801490783691
anger,fear,0.0,-2.0,2,3,romantic idealism,0.050403691828250885
anger,fear,0.0,-2.0,2,4,academic ambition / competitive determination,0.19722029566764832
anger,fear,0.0,-2.0,2,5,ironic amusement,0.048356328159570694
anger,fear,0.0,-2.0,2,6,enthusiasm / curiosity,0.14655113220214844
anger,fear,0.0,-2.0,3,0,self-doubt / encouragement,0.06093175336718559
anger,fear,0.0,-2.0,3,1,frustration / despair,0.10251928865909576
anger,fear,0.0,-2.0,3,2,uncertainty / indecision,0.16539502143859863
anger,fear,0.0,-2.0,3,3,romantic idealism,0.03413036838173866
anger,fear,0.0,-2.0,3,4,academic ambition / competitive determination,0.0693514347076416
anger,fear,0.0,-2.0,3,5,ironic amusement,0.09954050928354263
anger,fear,0.0,-2.0,3,6,enthusiasm / curiosity,0.11298248916864395
anger,fear,0.0,-2.0,4,0,self-doubt / encouragement,0.08728994429111481
anger,fear,0.0,-2.0,4,1,frustration / despair,0.06173887848854065
anger,fear,0.0,-2.0,4,2,uncertainty / indecision,0.16229671239852905
anger,fear,0.0,-2.0,4,3,romantic idealism,0.05726369470357895
anger,fear,0.0,-2.0,4,4,academic ambition / competitive determination,0.10703927278518677
anger,fear,0.0,-2.0,4,5,ironic amusement,0.052045658230781555
anger,fear,0.0,-2.0,4,6,enthusiasm / curiosity,0.10717548429965973
anger,fear,0.0,-2.0,5,0,self-doubt / encouragement,0.13340717554092407
anger,fear,0.0,-2.0,5,1,frustration / despair,0.13162413239479065
anger,fear,0.0,-2.0,5,2,uncertainty / indecision,0.16089193522930145
anger,fear,0.0,-2.0,5,3,romantic idealism,0.06402648985385895
anger,fear,0.0,-2.0,5,4,academic ambition / competitive determination,0.10799308866262436
anger,fear,0.0,-2.0,5,5,ironic amusement,0.12329086661338806
anger,fear,0.0,-2.0,5,6,enthusiasm / curiosity,0.20928701758384705
anger,fear,0.0,-2.0,6,0,self-doubt / encouragement,0.03782835602760315
anger,fear,0.0,-2.0,6,1,frustration / despair,0.08399330824613571
anger,fear,0.0,-2.0,6,2,uncertainty / indecision,0.06298138201236725
anger,fear,0.0,-2.0,6,3,romantic idealism,-0.04130189120769501
anger,fear,0.0,-2.0,6,4,academic ambition / competitive determination,0.039893392473459244
anger,fear,0.0,-2.0,6,5,ironic amusement,0.027037885040044785
anger,fear,0.0,-2.0,6,6,enthusiasm / curiosity,0.12117548286914825
anger,fear,0.0,-2.0,7,0,self-doubt / encouragement,0.2939532399177551
anger,fear,0.0,-2.0,7,1,frustration / despair,0.34492677450180054
anger,fear,0.0,-2.0,7,2,uncertainty / indecision,0.39849424362182617
anger,fear,0.0,-2.0,7,3,romantic idealism,0.17476359009742737
anger,fear,0.0,-2.0,7,4,academic ambition / competitive determination,0.2899567782878876
anger,fear,0.0,-2.0,7,5,ironic amusement,0.2867128849029541
anger,fear,0.0,-2.0,7,6,enthusiasm / curiosity,0.3336951732635498
anger,fear,0.0,0.0,0,0,self-doubt / encouragement,0.2579997777938843
anger,fear,0.0,0.0,0,1,frustration / despair,0.1789245754480362
anger,fear,0.0,0.0,0,2,uncertainty / indecision,0.29390186071395874
anger,fear,0.0,0.0,0,3,romantic idealism,0.09816206246614456
anger,fear,0.0,0.0,0,4,academic ambition / competitive determination,0.1298098862171173
anger,fear,0.0,0.0,0,5,ironic amusement,0.1419863998889923
anger,fear,0.0,0.0,0,6,enthusiasm / curiosity,0.18679481744766235
anger,fear,0.0,0.0,1,0,self-doubt / encouragement,0.08845274150371552
anger,fear,0.0,0.0,1,1,frustration / despair,0.12093593180179596
anger,fear,0.0,0.0,1,2,uncertainty / indecision,0.1579023152589798
anger,fear,0.0,0.0,1,3,romantic idealism,-0.006807968486100435
anger,fear,0.0,0.0,1,4,academic ambition / competitive determination,0.07018128782510757
anger,fear,0.0,0.0,1,5,ironic amusement,0.1118372306227684
anger,fear,0.0,0.0,1,6,enthusiasm / curiosity,0.10050424188375473
anger,fear,0.0,0.0,2,0,self-doubt / encouragement,0.11809313297271729
anger,fear,0.0,0.0,2,1,frustration / despair,0.08123224973678589
anger,fear,0.0,0.0,2,2,uncertainty / indecision,0.16268309950828552
anger,fear,0.0,0.0,2,3,romantic idealism,0.08184073120355606
anger,fear,0.0,0.0,2,4,academic ambition / competitive determination,0.22492694854736328
anger,fear,0.0,0.0,2,5,ironic amusement,0.0756302997469902
anger,fear,0.0,0.0,2,6,enthusiasm / curiosity,0.16488052904605865
anger,fear,0.0,0.0,3,0,self-doubt / encouragement,0.05243324488401413
anger,fear,0.0,0.0,3,1,frustration / despair,0.09356782585382462
anger,fear,0.0,0.0,3,2,uncertainty / indecision,0.12729161977767944
anger,fear,0.0,0.0,3,3,romantic idealism,0.030825095251202583
anger,fear,0.0,0.0,3,4,academic ambition / competitive determination,0.0544109046459198
anger,fear,0.0,0.0,3,5,ironic amusement,0.11290410161018372
anger,fear,0.0,0.0,3,6,enthusiasm / curiosity,0.11533231288194656
anger,fear,0.0,0.0,4,0,self-doubt / encouragement,0.09420821070671082
anger,fear,0.0,0.0,4,1,frustration / despair,0.08754955232143402
anger,fear,0.0,0.0,4,2,uncertainty / indecision,0.1750241070985794
anger,fear,0.0,0.0,4,3,romantic idealism,0.0778314620256424
anger,fear,0.0,0.0,4,4,academic ambition / competitive determination,0.17608575522899628
anger,fear,0.0,0.0,4,5,ironic amusement,0.04792594164609909
anger,fear,0.0,0.0,4,6,enthusiasm / curiosity,0.12139500677585602
anger,fear,0.0,0.0,5,0,self-doubt / encouragement,0.26054656505584717
anger,fear,0.0,0.0,5,1,frustration / despair,0.18212664127349854
anger,fear,0.0,0.0,5,2,uncertainty / indecision,0.32548990845680237
anger,fear,0.0,0.0,5,3,romantic idealism,0.07388083636760712
anger,fear,0.0,0.0,5,4,academic ambition / competitive determination,0.2368214726448059
anger,fear,0.0,0.0,5,5,ironic amusement,0.12936455011367798
anger,fear,0.0,0.0,5,6,enthusiasm / curiosity,0.24971291422843933
anger,fear,0.0,0.0,6,0,self-doubt / encouragement,0.05740978196263313
anger,fear,0.0,0.0,6,1,frustration / despair,0.018406767398118973
anger,fear,0.0,0.0,6,2,uncertainty / indecision,0.05213114619255066
anger,fear,0.0,0.0,6,3,romantic idealism,-0.0029194806702435017
anger,fear,0.0,0.0,6,4,academic ambition / competitive determination,0.06545843183994293
anger,fear,0.0,0.0,6,5,ironic amusement,0.11780129373073578
anger,fear,0.0,0.0,6,6,enthusiasm / curiosity,0.0769282728433609
anger,fear,0.0,0.0,7,0,self-doubt / encouragement,0.2342257797718048
anger,fear,0.0,0.0,7,1,frustration / despair,0.17508135735988617
anger,fear,0.0,0.0,7,2,uncertainty / indecision,0.23814348876476288
anger,fear,0.0,0.0,7,3,romantic idealism,0.04391293227672577
anger,fear,0.0,0.0,7,4,academic ambition / competitive determination,0.09760971367359161
anger,fear,0.0,0.0,7,5,ironic amusement,0.1656855195760727
anger,fear,0.0,0.0,7,6,enthusiasm / curiosity,0.21326756477355957
anger,fear,0.0,2.0,0,0,self-doubt / encouragement,0.17587535083293915
anger,fear,0.0,2.0,0,1,frustration / despair,0.17068102955818176
anger,fear,0.0,2.0,0,2,uncertainty / indecision,0.15906034409999847
anger,fear,0.0,2.0,0,3,romantic idealism,0.10870297253131866
anger,fear,0.0,2.0,0,4,academic ambition / competitive determination,0.046992767602205276
anger,fear,0.0,2.0,0,5,ironic amusement,0.07731746882200241
anger,fear,0.0,2.0,0,6,enthusiasm / curiosity,0.13171570003032684
anger,fear,0.0,2.0,1,0,self-doubt / encouragement,0.15911740064620972
anger,fear,0.0,2.0,1,1,frustration / despair,0.18338552117347717
anger,fear,0.0,2.0,1,2,uncertainty / indecision,0.18819817900657654
anger,fear,0.0,2.0,1,3,romantic idealism,0.06501414626836777
anger,fear,0.0,2.0,1,4,academic ambition / competitive determination,0.1428396999835968
anger,fear,0.0,2.0,1,5,ironic amusement,0.15843820571899414
anger,fear,0.0,2.0,1,6,enthusiasm / curiosity,0.20069795846939087
anger,fear,0.0,2.0,2,0,self-doubt / encouragement,0.12674054503440857
anger,fear,0.0,2.0,2,1,frustration / despair,0.06934133172035217
anger,fear,0.0,2.0,2,2,uncertainty / indecision,0.05134817957878113
anger,fear,0.0,2.0,2,3,romantic idealism,0.0494811125099659
anger,fear,0.0,2.0,2,4,academic ambition / competitive determination,0.05046037957072258
anger,fear,0.0,2.0,2,5,ironic amusement,0.008855702355504036
anger,fear,0.0,2.0,2,6,enthusiasm / curiosity,0.13807103037834167
anger,fear,0.0,2.0,3,0,self-doubt / encouragement,0.056468408554792404
anger,fear,0.0,2.0,3,1,frustration / despair,0.10151947289705276
anger,fear,0.0,2.0,3,2,uncertainty / indecision,0.13756822049617767
anger,fear,0.0,2.0,3,3,romantic idealism,0.03691897913813591
anger,fear,0.0,2.0,3,4,academic ambition / competitive determination,0.058205537497997284
anger,fear,0.0,2.0,3,5,ironic amusement,0.11789689213037491
anger,fear,0.0,2.0,3,6,enthusiasm / curiosity,0.12192412465810776
anger,fear,0.0,2.0,4,0,self-doubt / encouragement,0.12873487174510956
anger,fear,0.0,2.0,4,1,frustration / despair,0.13585512340068817
anger,fear,0.0,2.0,4,2,uncertainty / indecision,0.18124794960021973
anger,fear,0.0,2.0,4,3,romantic idealism,0.11147821694612503
anger,fear,0.0,2.0,4,4,academic ambition / competitive determination,0.14391951262950897
anger,fear,0.0,2.0,4,5,ironic amusement,0.051859527826309204
anger,fear,0.0,2.0,4,6,enthusiasm / curiosity,0.14379191398620605
anger,fear,0.0,2.0,5,0,self-doubt / encouragement,0.22758321464061737
anger,fear,0.0,2.0,5,1,frustration / despair,0.18761566281318665
anger,fear,0.0,2.0,5,2,uncertainty / indecision,0.2525778114795685
anger,fear,0.0,2.0,5,3,romantic idealism,0.1012197807431221
anger,fear,0.0,2.0,5,4,academic ambition / competitive determination,0.09921886771917343
anger,fear,0.0,2.0,5,5,ironic amusement,0.1633627861738205
anger,fear,0.0,2.0,5,6,enthusiasm / curiosity,0.2551378011703491
anger,fear,0.0,2.0,6,0,self-doubt / encouragement,0.09587086737155914
anger,fear,0.0,2.0,6,1,frustration / despair,0.1121509000658989
anger,fear,0.0,2.0,6,2,uncertainty / indecision,0.17253725230693817
anger,fear,0.0,2.0,6,3,romantic idealism,0.030363023281097412
anger,fear,0.0,2.0,6,4,academic ambition / competitive determination,0.04356946423649788
anger,fear,0.0,2.0,6,5,ironic amusement,0.08397892862558365
anger,fear,0.0,2.0,6,6,enthusiasm / curiosity,0.10001963376998901
anger,fear,0.0,2.0,7,0,self-doubt / encouragement,0.23237517476081848
anger,fear,0.0,2.0,7,1,frustration / despair,0.17180059850215912
anger,fear,0.0,2.0,7,2,uncertainty / indecision,0.23589646816253662
anger,fear,0.0,2.0,7,3,romantic idealism,0.03895362466573715
anger,fear,0.0,2.0,7,4,academic ambition / competitive determination,0.0799139142036438
anger,fear,0.0,2.0,7,5,ironic amusement,0.15713627636432648
anger,fear,0.0,2.0,7,6,enthusiasm / curiosity,0.18449446558952332
anger,fear,2.0,-2.0,0,0,self-doubt / encouragement,0.17711129784584045
anger,fear,2.0,-2.0,0,1,frustration / despair,0.21496239304542542
anger,fear,2.0,-2.0,0,2,uncertainty / indecision,0.19592401385307312
anger,fear,2.0,-2.0,0,3,romantic idealism,0.008179385215044022
anger,fear,2.0,-2.0,0,4,academic ambition / competitive determination,0.07444795221090317
anger,fear,2.0,-2.0,0,5,ironic amusement,0.14283762872219086
anger,fear,2.0,-2.0,0,6,enthusiasm / curiosity,0.14291788637638092
anger,fear,2.0,-2.0,1,0,self-doubt / encouragement,0.10528334975242615
anger,fear,2.0,-2.0,1,1,frustration / despair,0.11092164367437363
anger,fear,2.0,-2.0,1,2,uncertainty / indecision,0.14275315403938293
anger,fear,2.0,-2.0,1,3,romantic idealism,0.010319828055799007
anger,fear,2.0,-2.0,1,4,academic ambition / competitive determination,0.10390657931566238
anger,fear,2.0,-2.0,1,5,ironic amusement,0.1227639764547348
anger,fear,2.0,-2.0,1,6,enthusiasm / curiosity,0.11675653606653214
anger,fear,2.0,-2.0,2,0,self-doubt / encouragement,0.11246195435523987
anger,fear,2.0,-2.0,2,1,frustration / despair,0.08880400657653809
anger,fear,2.0,-2.0,2,2,uncertainty / indecision,0.1562202274799347
anger,fear,2.0,-2.0,2,3,romantic idealism,0.06515420228242874
anger,fear,2.0,-2.0,2,4,academic ambition / competitive determination,0.1943763643503189
anger,fear,2.0,-2.0,2,5,ironic amusement,0.060144707560539246
anger,fear,2.0,-2.0,2,6,enthusiasm / curiosity,0.11963852494955063
anger,fear,2.0,-2.0,3,0,self-doubt / encouragement,0.15437836945056915
anger,fear,2.0,-2.0,3,1,frustration / despair,0.12698981165885925
anger,fear,2.0,-2.0,3,2,uncertainty / indecision,0.16307567059993744
anger,fear,2.0,-2.0,3,3,romantic idealism,0.04210587963461876
anger,fear,2.0,-2.0,3,4,academic ambition / competitive determination,0.09551846981048584
anger,fear,2.0,-2.0,3,5,ironic amusement,0.11220350861549377
anger,fear,2.0,-2.0,3,6,enthusiasm / curiosity,0.1803779900074005
anger,fear,2.0,-2.0,4,0,self-doubt / encouragement,0.047523338347673416
anger,fear,2.0,-2.0,4,1,frustration / despair,0.06025748699903488
anger,fear,2.0,-2.0,4,2,uncertainty / indecision,0.1252475380897522
anger,fear,2.0,-2.0,4,3,romantic idealism,0.029348846524953842
anger,fear,2.0,-2.0,4,4,academic ambition / competitive determination,0.0604635551571846
anger,fear,2.0,-2.0,4,5,ironic amusement,0.01936153508722782
anger,fear,2.0,-2.0,4,6,enthusiasm / curiosity,0.0770663395524025
anger,fear,2.0,-2.0,5,0,self-doubt / encouragement,0.06099396571516991
anger,fear,2.0,-2.0,5,1,frustration / despair,0.0826258733868599
