component,delta_V,delta_A,delta_D,top_words,top_cosines
52,0.0270010530948638,0.0170490443706512,-0.0708868503570556,ass|inertia|paintball|overactive|intoxicating,0.997|0.996|0.994|0.992|0.987
53,-0.056736409664154,0.0810520946979522,0.0030142366886138,abrasive|swinger|hustle|screamer|twister,0.997|0.996|0.996|0.993|0.992
54,0.0206500887870788,-0.0333274900913238,-0.0008107125759124,captain|taffy|scampi|afloat|padre,1.0|1.0|1.0|1.0|1.0
55,0.2678295075893402,0.0350732207298278,0.0925906896591186,cake|profit|chuckle|voluptuous|carnival,1.0|1.0|1.0|1.0|1.0
56,-0.0754540264606475,-0.1406934559345245,0.010551780462265,carbon|tug|absurd|tired|growl,1.0|1.0|1.0|1.0|1.0
57,-0.0999610424041748,0.0239591896533966,-0.074519008398056,genocide|choppers|indictment|frightened|prowler,1.0|1.0|1.0|1.0|1.0
58,0.0100378990173339,-0.0874132215976715,0.0078589916229248,keyboard|veritable|grid|accordion|disk,1.0|1.0|1.0|1.0|1.0
59,0.0429264605045318,-0.0241478383541107,-0.0022586286067962,deer|mommy|penguin|youth|scented,1.0|1.0|0.999|0.999|0.999
60,-0.0376515090465545,0.0382302403450012,-0.0013818144798278,shotgun|uprising|screamer|siren|freak,1.0|0.999|0.998|0.998|0.996
61,0.0668170452117919,0.0249576866626739,0.0892952978610992,brisk|overdrive|mastery|mighty|thrust,1.0|0.999|0.999|0.999|0.999
62,0.0320149064064025,0.1242219507694244,-0.0388762652873992,blowtorch|flamethrower|evolution|stormy|duel,0.999|0.997|0.992|0.988|0.988
63,0.210841029882431,0.1373370289802551,0.0757029056549072,bazaar|anticipate|bonus|flirty|caffeine,1.0|0.999|0.999|0.999|0.999
