cat_a,cat_b,alpha,beta,vector,top_cluster_id,top_cluster_name,top_cos,null_p95
b8,b4,-2.0,-2.0,full,1,frustration / despair,0.10751830786466599,0.04994594305753708
b8,b4,-2.0,2.0,resid,2,uncertainty / indecision,0.07550962269306183,0.040912676602602005
b8,b4,-2.0,2.0,marg,6,enthusiasm / curiosity,0.26802879571914673,0.041279226541519165
b8,b4,-2.0,2.0,full,3,romantic idealism,0.06889241188764572,0.05297365039587021
b8,b4,2.0,-2.0,resid,5,ironic amusement,0.07291345298290253,0.04776734113693237
b8,b4,2.0,-2.0,marg,2,uncertainty / indecision,0.2789546251296997,0.040912676602602005
b8,b4,2.0,-2.0,full,1,frustration / despair,0.03268224000930786,0.04994594305753708
b8,b4,2.0,2.0,resid,4,academic ambition / competitive determination,0.06308017671108246,0.04842482879757881
b8,b4,2.0,2.0,marg,6,enthusiasm / curiosity,0.2867245078086853,0.041279226541519165
b8,b4,2.0,2.0,full,5,ironic amusement,0.124074786901474,0.04776734113693237
b8,b7,-2.0,-2.0,resid,2,uncertainty / indecision,0.04859727993607521,0.040912676602602005
b8,b7,-2.0,-2.0,marg,2,uncertainty / indecision,0.23309721052646637,0.040912676602602005
b8,b7,-2.0,-2.0,full,5,ironic amusement,0.02959536574780941,0.04776734113693237
b8,b7,-2.0,2.0,resid,4,academic ambition / competitive determination,0.14378248155117035,0.04842482879757881
b8,b7,-2.0,2.0,marg,2,uncertainty / indecision,0.2068200707435608,0.040912676602602005
b8,b7,-2.0,2.0,full,1,frustration / despair,-0.004818450193852186,0.04994594305753708
b8,b7,2.0,-2.0,resid,0,self-doubt / encouragement,0.04594365507364273,0.04447821527719498
b8,b7,2.0,-2.0,marg,2,uncertainty / indecision,0.2576768398284912,0.040912676602602005
b8,b7,2.0,-2.0,full,3,romantic idealism,0.05479557439684868,0.05297365039587021
b8,b7,2.0,2.0,resid,0,self-doubt / encouragement,0.09527494013309479,0.04447821527719498
b8,b7,2.0,2.0,marg,2,uncertainty / indecision,0.21824133396148682,0.040912676602602005
b8,b7,2.0,2.0,full,1,frustration / despair,-0.0015301257371902466,0.04994594305753708
